,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,hhld_structure,electricity,parafin.lamp,radio,tv,mobile,iron,fridge,generator,clock_watch,bed,sofa,kerosene_cooker,solar,bike,motorbike,truck_car,mosquito_net,panga,blanket,none_above,crop_sales,livestock_sales,milk_sales,meat_sales,business,firewood,charcoal,natural_resurces,specify,casual,salary,gifts,other,specify_other_income,who_crop_sales,who_livestock_sales,who_milk_sales,who_meat_sales,who_business,who_firewood,who_charcoal,who_natural_resurces,who_casual,who_salary,who_gifts,who_other,stones_crop_sales,stones_livestock_sales,stones_milk_sales,stones_meat_sales,stones_business,stones_firewood,stones_charcoal,stones_natural_resurces,stones_casual_labor,stones_salary,stones_gifts,stones_other,ksh_crop_sales,ksh_livestock_sales,ksh_milk_sales,ksh_meat_sales,ksh_business,ksh_firewood,ksh_charcoal,ksh_natural_resurces,ksh_casual_labor,ksh_salary,ksh_gifts,ksh_other,describe_income,compare_income,wellbeing,change_cause1,change_cause2,casual_work,no_cattle,no_donkeys,no_sheep,no_goats,no_camels,no_chicken,no_other,other_livestock,sell_cattle,why_cattle,sell_donkeys,why_donkeys,sell_sheep,why_sheep,sell_goats,why_goats,sell_camels,why_camels,sell_chicken,why_chicken,sell_other,what_sell_other,why_other,sick_livestock,sell_milk,quantity,units,sell_eggs,no_eggs
1,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,3,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,0,0,0,0,NA,0,0,0,0,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,4,0,0,0,0,0,0,0,0,0,120000,0,9000,0,0,0,0,0,0,0,0,2,1,1,good sale of livestock available,NA,2,20,1,15,43,0,6,0,NA,0,NA,0,NA,0,NA,12,for school and food stuff,0,NA,0,NA,0,NA,NA,2,1,NA,NA,NA,NA
2,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,3,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,0,0,0,0,NA,0,0,0,0,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,4,0,0,0,0,0,0,0,0,0,120000,0,9000,0,0,0,0,0,0,0,0,2,1,1,good sale of livestock available,NA,2,20,1,15,43,0,6,0,NA,0,NA,0,NA,0,NA,12,for school and food stuff,0,NA,0,NA,0,NA,NA,2,1,NA,NA,NA,NA
3,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,0,0,0,0,NA,0,0,0,0,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,0,0,0,0,0,0,0,0,120000,0,10000,0,0,0,0,0,0,0,0,2,3,3,because the price of goods is high,NA,2,15,0,20,21,0,15,0,NA,0,NA,0,NA,0,NA,1,to cater for food,0,NA,8,for food and other needs,0,NA,NA,1,1,NA,NA,NA,NA
4,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,0,0,0,0,NA,0,0,0,0,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,0,0,0,0,0,0,0,0,120000,0,10000,0,0,0,0,0,0,0,0,2,3,3,because the price of goods is high,NA,2,15,0,20,21,0,15,0,NA,0,NA,0,NA,0,NA,1,to cater for food,0,NA,8,for food and other needs,0,NA,NA,1,1,NA,NA,NA,NA
5,donyo wasin003,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,322,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,0,0,0,0,NA,0,0,0,0,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,4,0,0,0,0,0,0,0,0,0,130000,0,2000,0,0,0,0,0,0,0,0,2,2,1,because of the market,NA,2,45,3,21,88,0,0,0,NA,2,to pay the school fees,0,NA,0,NA,4,for food,0,NA,0,NA,0,NA,NA,2,1,NA,NA,NA,NA
6,donyo wasin003,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,322,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,0,0,0,0,NA,0,0,0,0,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,4,0,0,0,0,0,0,0,0,0,130000,0,2000,0,0,0,0,0,0,0,0,2,2,1,because of the market,NA,2,45,3,21,88,0,0,0,NA,2,to pay the school fees,0,NA,0,NA,4,for food,0,NA,0,NA,0,NA,NA,2,1,NA,NA,NA,NA
7,elkekorok001,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,335,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,0,0,0,0,NA,0,0,0,0,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,2,0,0,0,0,0,0,0,0,0,30000,0,12000,0,0,0,0,0,0,0,0,1,1,1,good market and sercuity,NA,2,73,2,100,176,6,0,2,dogs,2,feed the children,0,NA,8,feed the children,0,NA,1,medical bill,0,NA,0,NA,NA,1,1,NA,NA,NA,NA
8,elkekorok001,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,335,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,0,0,0,0,NA,0,0,0,0,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,2,0,0,0,0,0,0,0,0,0,30000,0,12000,0,0,0,0,0,0,0,0,1,1,1,good market and sercuity,NA,2,73,2,100,176,6,0,2,dogs,2,feed the children,0,NA,8,feed the children,0,NA,1,medical bill,0,NA,0,NA,NA,1,1,NA,NA,NA,NA
9,elkekorok002,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,336,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,1,1,0,0,0,0,NA,0,0,0,0,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,3,0,0,0,0,0,0,0,0,0,28000,900,6000,0,0,0,0,0,0,0,0,2,1,1,good market and sercuity,NA,2,0,2,90,100,5,0,0,NA,0,NA,0,NA,0,NA,0,NA,2,feed the children,0,NA,0,NA,NA,1,2,30,cups,NA,NA
10,elkekorok002,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,336,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,1,1,0,0,0,0,NA,0,0,0,0,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,3,0,0,0,0,0,0,0,0,0,28000,900,6000,0,0,0,0,0,0,0,0,2,1,1,good market and sercuity,NA,2,0,2,90,100,5,0,0,NA,0,NA,0,NA,0,NA,0,NA,2,feed the children,0,NA,0,NA,NA,1,2,30,cups,NA,NA
