,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,grazing_plan,plan_helpful,quality_grazing,follow_plan,no_reason,no_reason1,no_reason2,no_reason3,no_reason4,no_reason5,wet_hhld_livestock_out_ccy,dry_hhld_livestock_out_ccy,wet_no_cattle,wet_no_shoats,wet_no_camels,dry_no_cattle,dry_no_shoats,dry_no_camels,wet_area1,wet_area2,wet_area3,wet_area4,wet_area5,other_wet,dry_area1,dry_area2,dry_area3,dry_area4,dry_area5,other_dry,wet_outside_livestock,dry_outside_livestock,wet_outside_times,dry_outside_times,wet_outside_no,dry_outside_no
1,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,15,0,0,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,4,6,12,10
2,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,15,0,0,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,4,6,12,10
3,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,2,3,2,2,NA,NA,NA,NA,NA,NA,2,2,15,0,0,20,0,0,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,8,8,12,12
4,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,2,3,2,2,NA,NA,NA,NA,NA,NA,2,2,15,0,0,20,0,0,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,8,8,12,12
5,donyo wasin003,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,322,2,3,3,2,NA,NA,NA,NA,NA,NA,2,2,75,0,0,75,105,0,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,5,7,12,12
6,donyo wasin003,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,322,2,3,3,2,NA,NA,NA,NA,NA,NA,2,2,75,0,0,75,105,0,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,5,7,12,12
7,elkekorok001,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,335,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,10,80,2,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,2,NA,5,NA,12
8,elkekorok001,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,335,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,10,80,2,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,2,NA,5,NA,12
9,elkekorok002,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,336,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,60,6,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,2,NA,4,NA,12
10,elkekorok002,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,336,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,60,6,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,2,NA,4,NA,12
