,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,eat_meat,drink_milk,sick_adults,sick_children,medical_services1,medical_services2,medical_services3,medical_services4,visit,no_times,water_wet_season1,water_wet_season2,water_wet_season3,water_wet_season4,water_wet_season5,important_wet_water,important_wet_water2,important_wet_water3,water_dry_season1,water_dry_season2,water_dry_season3,water_dry_season4,water_dry_season5,important_dry_water,important_dry_water2,important_dry_water3,hours_wet_season,hours_dry_season
1,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,10,12,9,NA,8,NA,NA,5,3,11,NA,NA,5,NA,NA,5,8
2,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,10,12,9,NA,8,NA,NA,5,3,11,NA,NA,5,NA,NA,5,8
3,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,12,8,NA,NA,10,NA,NA,8,5,NA,NA,NA,5,NA,NA,1,4
4,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,12,8,NA,NA,10,NA,NA,8,5,NA,NA,NA,5,NA,NA,1,4
5,donyo wasin003,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,322,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,8,12,NA,NA,10,NA,NA,10,5,8,NA,NA,5,NA,NA,2,6
6,donyo wasin003,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,322,1,2,NA,NA,NA,NA,NA,NA,NA,NA,10,8,12,NA,NA,10,NA,NA,10,5,8,NA,NA,5,NA,NA,2,6
7,elkekorok001,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,335,2,2,NA,NA,NA,NA,NA,NA,NA,NA,12,10,8,5,NA,12,NA,NA,5,6,8,NA,NA,5,NA,NA,0.5,6
8,elkekorok001,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,335,2,2,NA,NA,NA,NA,NA,NA,NA,NA,12,10,8,5,NA,12,NA,NA,5,6,8,NA,NA,5,NA,NA,0.5,6
9,elkekorok002,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,336,2,2,NA,NA,NA,NA,NA,NA,NA,NA,12,10,5,NA,NA,12,NA,NA,5,8,10,NA,NA,5,NA,NA,0.5,8
10,elkekorok002,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,336,2,2,NA,NA,NA,NA,NA,NA,NA,NA,12,10,5,NA,NA,12,NA,NA,5,8,10,NA,NA,5,NA,NA,0.5,8
