,hhid,index.x,security_status,feel_safe,conflict1,conflict2,conflict3,conflict4,conflict5,conflict6,other_conflict,conflict_rank1,conflict_rank2,conflict_rank3,index.y,date,ccy,location,sublocation,village,survey_type,nrt
1,donyo wasin001,320,1,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
2,donyo wasin001,320,1,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
3,donyo wasin001,320,1,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
4,donyo wasin001,320,1,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
5,donyo wasin002,321,2,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
6,donyo wasin002,321,2,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
7,donyo wasin002,321,2,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
8,donyo wasin002,321,2,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
9,donyo wasin003,322,2,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
10,donyo wasin003,322,2,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
11,donyo wasin003,322,2,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
12,donyo wasin003,322,2,1,4,5,6,NA,NA,NA,NA,NA,NA,NA,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT
13,elkekorok001,335,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT
14,elkekorok001,335,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT
15,elkekorok001,335,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT
16,elkekorok001,335,1,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT
17,elkekorok002,336,1,NA,4,5,2,NA,NA,NA,NA,NA,NA,NA,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT
18,elkekorok002,336,1,NA,4,5,2,NA,NA,NA,NA,NA,NA,NA,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT
19,elkekorok002,336,1,NA,4,5,2,NA,NA,NA,NA,NA,NA,NA,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT
20,elkekorok002,336,1,NA,4,5,2,NA,NA,NA,NA,NA,NA,NA,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT
21,elkekorok003,337,1,2,4,2,5,NA,NA,NA,NA,NA,NA,NA,337,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT
