,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,wilidlife_cost_benefits,importance,problems,wildlife_problem1,wildlife_problem2,wildlife_problem3,wildlife_problem4,wildlife_problem5,other_wildlife,problem_trend,positive_conservation1,positive_conservation2,positive_conservation3,other_positive,negative_conservation1,negative_conservation2,negative_conservation3,other_negative,population
1,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,1,3,1,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,1,2,NA,NA,NA
2,donyo wasin001,320,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,320,1,3,1,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,1,2,NA,NA,NA
3,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,2,2,2,1,2,3,4,5,NA,1,2,3,NA,NA,1,2,NA,NA,NA
4,donyo wasin002,321,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,321,2,2,2,1,2,3,4,5,NA,1,2,3,NA,NA,1,2,NA,NA,NA
5,donyo wasin003,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,322,1,1,2,1,2,3,4,5,NA,1,3,NA,NA,NA,1,2,NA,NA,NA
6,donyo wasin003,322,24/06/15,namunyak,ndonyo wasin,ndonyo wasin,namanyiana,baseline,NRT,322,1,1,2,1,2,3,4,5,NA,1,3,NA,NA,NA,1,2,NA,NA,NA
7,elkekorok001,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,335,2,3,2,1,2,3,4,5,NA,2,1,2,3,sercuity,1,2,NA,NA,NA
8,elkekorok001,335,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,335,2,3,2,1,2,3,4,5,NA,2,1,2,3,sercuity,1,2,NA,NA,NA
9,elkekorok002,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,336,2,3,2,1,2,3,4,5,NA,2,1,2,3,sercuity,1,2,NA,NA,NA
10,elkekorok002,336,23/06/15,namunyak,ndonyo wasin,ndonyo wasin,elkekorok,baseline,NRT,336,2,3,2,1,2,3,4,5,NA,2,1,2,3,sercuity,1,2,NA,NA,NA
