activity,ccy,prop
Livestock,Ilngwesi,0.27
Farming,Ilngwesi,0.45
Employee,Ilngwesi,0.18
Trader,Ilngwesi,0
Own Business,Ilngwesi,0
Unpaid Family Helper,Ilngwesi,0
Housewife,Ilngwesi,0
Student,Ilngwesi,0.09
No Job,Ilngwesi,0
Other,Ilngwesi,0
Livestock,Kalama,0.36
Farming,Kalama,0
Employee,Kalama,0.09
Trader,Kalama,0.01
Own Business,Kalama,0.1
Unpaid Family Helper,Kalama,0.04
Housewife,Kalama,0.11
Student,Kalama,0.13
No Job,Kalama,0.15
Other,Kalama,0
Livestock,Lekurruki,0.44
Farming,Lekurruki,0.12
Employee,Lekurruki,0.14
Trader,Lekurruki,0.02
Own Business,Lekurruki,0.08
Unpaid Family Helper,Lekurruki,0
Housewife,Lekurruki,0.06
Student,Lekurruki,0.07
No Job,Lekurruki,0.07
Other,Lekurruki,0.01
Livestock,Meibae ,0.82
Farming,Meibae ,0
Employee,Meibae ,0.04
Trader,Meibae ,0.01
Own Business,Meibae ,0.03
Unpaid Family Helper,Meibae ,0.01
Housewife,Meibae ,0
Student,Meibae ,0.02
No Job,Meibae ,0.04
Other,Meibae ,0.02
Livestock,Melako,0.52
Farming,Melako,0
Employee,Melako,0.08
Trader,Melako,0
Own Business,Melako,0.09
Unpaid Family Helper,Melako,0
Housewife,Melako,0.08
Student,Melako,0.08
No Job,Melako,0.14
Other,Melako,0.01
Livestock,Nakuprat Gotu,0.24
Farming,Nakuprat Gotu,0
Employee,Nakuprat Gotu,0.04
Trader,Nakuprat Gotu,0.02
Own Business,Nakuprat Gotu,0.01
Unpaid Family Helper,Nakuprat Gotu,0
Housewife,Nakuprat Gotu,0.18
Student,Nakuprat Gotu,0.13
No Job,Nakuprat Gotu,0.38
Other,Nakuprat Gotu,0
Livestock,Namunyak,0.55
Farming,Namunyak,0
Employee,Namunyak,0.04
Trader,Namunyak,0.01
Own Business,Namunyak,0.06
Unpaid Family Helper,Namunyak,0.01
Housewife,Namunyak,0.06
Student,Namunyak,0.09
No Job,Namunyak,0.17
Other,Namunyak,0.01
Livestock,Sera,0.42
Farming,Sera,0
Employee,Sera,0.13
Trader,Sera,0.01
Own Business,Sera,0.11
Unpaid Family Helper,Sera,0
Housewife,Sera,0.01
Student,Sera,0.09
No Job,Sera,0.22
Other,Sera,0
Livestock,Westgate,0.62
Farming,Westgate,0
Employee,Westgate,0.11
Trader,Westgate,0
Own Business,Westgate,0.01
Unpaid Family Helper,Westgate,0.01
Housewife,Westgate,0.19
Student,Westgate,0.04
No Job,Westgate,0
Other,Westgate,0.01
