conflict,ccy,prop
Livestock,Lekurruki,0.25
Grazing,Lekurruki,0.17
Water,Lekurruki,0.14
Human,Lekurruki,0.18
Property,Lekurruki,0.14
Crop,Lekurruki,0.11
Other,Lekurruki,0
Livestock,Meibae ,0.36
Grazing,Meibae ,0.36
Water,Meibae ,0.29
Human,Meibae ,0
Property,Meibae ,0
Crop,Meibae ,0
Other,Meibae ,0
Livestock,Namunyak,0.23
Grazing,Namunyak,0.25
Water,Namunyak,0.22
Human,Namunyak,0.16
Property,Namunyak,0.11
Crop,Namunyak,0.02
Other,Namunyak,0
Livestock,Sera,0.32
Grazing,Sera,0.25
Water,Sera,0.27
Human,Sera,0.13
Property,Sera,0.03
Crop,Sera,0
Other,Sera,0
