sec,prop,ccy
Improved,0.34,Ilngwesi
Same,0.54,Ilngwesi
Worsened,0.12,Ilngwesi
Don't Know,0,Ilngwesi
Improved,0.09,Kalama
Same,0.09,Kalama
Worsened,0.81,Kalama
Don't Know,0.01,Kalama
Improved,0.63,Lekurruki
Same,0.28,Lekurruki
Worsened,0.09,Lekurruki
Don't Know,0,Lekurruki
Improved,0.76,Meibae 
Same,0.21,Meibae 
Worsened,0.02,Meibae 
Don't Know,0,Meibae 
Improved,0.52,Melako
Same,0.13,Melako
Worsened,0.35,Melako
Don't Know,0,Melako
Improved,0.39,Nakuprat Gotu
Same,0.17,Nakuprat Gotu
Worsened,0.44,Nakuprat Gotu
Don't Know,0,Nakuprat Gotu
Improved,0.65,Namunyak
Same,0.21,Namunyak
Worsened,0.11,Namunyak
Don't Know,0.03,Namunyak
Improved,0.93,Sera
Same,0.04,Sera
Worsened,0.02,Sera
Don't Know,0,Sera
Improved,0.83,Westgate
Same,0.06,Westgate
Worsened,0.1,Westgate
Don't Know,0.01,Westgate
